"Label (Grouping)","Population 16 years and over with earnings","Population 16 years and over with earnings!!Median earnings (dollars)","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Median earnings (dollars) for full-time, year-round workers with earnings","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Mean earnings (dollars) for full-time, year-round workers with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree"
"Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,516,192","36,953","1,723,646","38,226","50,954","175,399","266,047","337,591","285,446","113,486","195,029","261,468","49,599","65,475","","42,463","28,515","34,127","39,501","56,640","70,732"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,516,192","(X)","1,723,646","2.2%","3.0%","10.2%","15.4%","19.6%","16.6%","6.6%","11.3%","15.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,308,524","44,443","964,406","16,913","21,730","73,921","124,313","172,012","160,850","67,461","129,894","197,312","55,721","76,010","","51,867","32,089","41,600","51,002","71,465","92,889"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,308,524","(X)","964,406","1.8%","2.3%","7.7%","12.9%","17.8%","16.7%","7.0%","13.5%","20.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,207,668","30,824","759,240","21,313","29,224","101,478","141,734","165,579","124,596","46,025","65,135","64,156","41,951","52,094","","35,268","22,016","26,337","31,607","46,955","60,575"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,207,668","(X)","759,240","2.8%","3.8%","13.4%","18.7%","21.8%","16.4%","6.1%","8.6%","8.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","407,800","47,357","255,724","3,189","4,024","12,662","29,440","42,610","44,456","18,865","42,360","58,118","62,595","78,850","","53,582","41,145","40,651","51,499","67,321","89,202"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","407,800","(X)","255,724","1.2%","1.6%","5.0%","11.5%","16.7%","17.4%","7.4%","16.6%","22.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
