"Label (Grouping)","Population 16 years and over with earnings","Population 16 years and over with earnings!!Median earnings (dollars)","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Median earnings (dollars) for full-time, year-round workers with earnings","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Mean earnings (dollars) for full-time, year-round workers with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree"
"Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,424,381","34,925","1,626,878","32,336","57,566","191,095","262,592","322,938","269,957","100,543","178,701","211,150","46,371","60,921","","40,362","25,395","31,997","36,662","52,385","65,470"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,424,381","(X)","1,626,878","2.0%","3.5%","11.7%","16.1%","19.9%","16.6%","6.2%","11.0%","13.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,257,280","41,859","920,444","15,383","22,423","81,174","127,137","170,699","155,819","62,634","124,936","160,239","52,177","70,020","","49,422","30,437","40,400","48,234","69,340","87,542"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,257,280","(X)","920,444","1.7%","2.4%","8.8%","13.8%","18.5%","16.9%","6.8%","13.6%","17.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,167,101","27,771","706,434","16,953","35,143","109,921","135,455","152,239","114,138","37,909","53,765","50,911","39,338","49,065","","32,391","19,307","24,996","30,353","42,797","56,725"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,167,101","(X)","706,434","2.4%","5.0%","15.6%","19.2%","21.6%","16.2%","5.4%","7.6%","7.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","397,039","41,962","236,451","3,083","4,104","13,873","27,703","44,199","39,702","21,203","31,478","51,106","59,195","74,358","","50,554","31,565","39,150","44,785","60,141","80,892"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","397,039","(X)","236,451","1.3%","1.7%","5.9%","11.7%","18.7%","16.8%","9.0%","13.3%","21.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
