"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Full-time, year-round workers with earnings!!$10,000 to $14,999","Full-time, year-round workers with earnings!!$15,000 to $24,999","Full-time, year-round workers with earnings!!$25,000 to $34,999","Full-time, year-round workers with earnings!!$35,000 to $49,999","Full-time, year-round workers with earnings!!$50,000 to $64,999","Full-time, year-round workers with earnings!!$65,000 to $74,999","Full-time, year-round workers with earnings!!$75,000 to $99,999","Full-time, year-round workers with earnings!!$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Earnings in the past 12 months"
"Alabama","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,291,699","26,934","1,479,666","2.1%","4.8%","18.5%","18.5%","20.6%","13.9%","5.3%","7.7%","8.7%","(X)","50,337","","31,507","17,583","25,693","30,662","45,874","55,873","","21.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,199,733","32,399","844,113","1.6%","3.9%","14.2%","16.9%","19.6%","15.5%","5.8%","10.0%","12.6%","44,245","58,188","","39,235","21,600","31,288","38,901","60,327","76,203","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,091,966","21,811","635,553","2.7%","6.1%","24.3%","20.6%","21.8%","11.7%","4.6%","4.6%","3.6%","32,136","39,910","","25,495","12,685","20,461","24,508","36,958","50,047","","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","424,923","36,843","254,297","1.5%","2.2%","10.6%","13.2%","19.1%","17.6%","9.1%","13.1%","13.5%","(X)","62,664","","45,182","26,163","35,963","41,783","56,042","71,806","","19.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
