"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Full-time, year-round workers with earnings!!$10,000 to $14,999","Full-time, year-round workers with earnings!!$15,000 to $24,999","Full-time, year-round workers with earnings!!$25,000 to $34,999","Full-time, year-round workers with earnings!!$35,000 to $49,999","Full-time, year-round workers with earnings!!$50,000 to $64,999","Full-time, year-round workers with earnings!!$65,000 to $74,999","Full-time, year-round workers with earnings!!$75,000 to $99,999","Full-time, year-round workers with earnings!!$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Earnings in the past 12 months"
"Alabama","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,285,379","28,262","1,483,912","2.0%","4.9%","17.5%","17.2%","21.3%","14.5%","5.3%","8.3%","9.0%","(X)","50,920","","32,468","20,732","27,223","30,878","46,740","56,164","","21.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,192,333","34,804","841,997","2.0%","3.4%","13.9%","15.5%","20.3%","15.4%","6.3%","10.4%","12.7%","45,057","58,655","","40,366","25,122","33,864","40,592","60,321","76,121","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,093,046","22,998","641,915","2.1%","6.9%","22.1%","19.4%","22.5%","13.4%","4.0%","5.6%","4.0%","34,310","40,772","","26,849","14,134","20,847","25,396","39,543","50,413","","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","428,304","35,552","244,344","1.9%","2.4%","10.4%","14.4%","18.7%","16.2%","8.9%","14.1%","13.1%","(X)","62,576","","41,968","21,923","33,815","41,036","52,885","70,590","","19.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
