"Label (Grouping)","Population 16 years and over with earnings","Population 16 years and over with earnings!!Median earnings (dollars)","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Median earnings (dollars) for full-time, year-round workers with earnings","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Mean earnings (dollars) for full-time, year-round workers with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree"
"Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,369,607","31,962","1,626,970","31,597","56,838","242,003","279,334","332,264","264,805","100,779","138,829","180,521","42,414","55,985","","37,217","22,395","30,845","35,107","50,643","60,922"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,369,607","(X)","1,626,970","1.9%","3.5%","14.9%","17.2%","20.4%","16.3%","6.2%","8.5%","11.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,234,815","40,190","917,533","18,838","26,256","99,572","142,932","170,771","160,859","64,722","96,541","137,042","50,018","64,038","","45,762","27,717","36,803","45,748","65,228","81,364"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,234,815","(X)","917,533","2.1%","2.9%","10.9%","15.6%","18.6%","17.5%","7.1%","10.5%","14.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,134,792","25,958","709,437","12,759","30,582","142,431","136,402","161,493","103,946","36,057","42,288","43,479","37,161","45,569","","30,659","17,325","23,164","28,180","40,785","52,783"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,134,792","(X)","709,437","1.8%","4.3%","20.1%","19.2%","22.8%","14.7%","5.1%","6.0%","6.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","403,168","40,334","245,026","2,943","4,707","25,554","29,552","43,568","42,848","23,669","32,311","39,874","54,311","66,176","","47,809","23,264","36,522","47,878","53,033","71,947"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","403,168","(X)","245,026","1.2%","1.9%","10.4%","12.1%","17.8%","17.5%","9.7%","13.2%","16.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
