"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 to $99,999","$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Earnings in the past 12 months"
"Alabama","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,271,999","26,574","1,446,696","2.6%","5.4%","18.0%","18.2%","20.3%","14.4%","5.7%","7.3%","8.1%","(X)","49,353","","31,322","18,642","25,485","30,525","45,124","55,943","","17.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,192,483","32,296","824,625","2.2%","4.0%","14.2%","15.6%","19.7%","16.1%","7.0%","9.7%","11.6%","44,567","57,577","","38,868","22,101","31,561","39,694","60,255","75,295","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,079,516","21,355","622,071","3.2%","7.4%","23.1%","21.7%","21.1%","12.1%","4.0%","4.1%","3.4%","31,674","38,450","","25,465","13,580","19,672","24,940","36,153","49,565","","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","426,298","34,405","239,808","1.2%","2.7%","10.9%","15.0%","19.4%","16.0%","8.8%","13.2%","12.7%","(X)","59,843","","41,288","23,058","30,604","41,092","51,436","68,881","","15.7%"
